Location,Court,Size,Floor,A_S,Price_per_size
38,81,600,2,1,9374
38,172,700,2,1,9027
38,172,700,1,1,7785
42,168,500,2,1,7280
42,168,600,2,1,7198
3,7,600,1,1,8023
3,28,600,1,1,8408
3,39,700,2,1,8654
3,40,500,1,1,9012
3,40,600,2,1,9223
3,89,500,1,1,9103
3,140,500,2,1,6832
24,76,600,1,1,12348
29,1,500,1,1,11974
29,1,600,3,1,11959
29,143,600,1,1,8337
29,144,600,1,1,8246
29,145,500,2,1,8942
29,146,700,2,1,11632
29,148,600,2,1,10696
1,101,600,2,1,11824
4,38,500,3,1,11871
27,85,500,2,1,7914
5,109,600,1,1,10916
5,109,600,2,1,11805
7,36,600,2,1,10214
40,141,600,2,1,8803
43,57,500,2,1,11871
44,19,500,3,1,7328
44,32,400,1,1,6269
44,74,500,3,1,12235
44,91,500,1,1,7441
44,91,500,1,1,6314
15,16,400,3,1,7320
15,139,400,1,1,6370
15,160,700,1,1,10510
15,160,700,3,1,10760
18,51,700,1,1,9323
18,86,600,3,1,10575
18,86,700,1,1,10613
18,86,700,2,1,10690
18,122,500,1,1,5773
18,122,600,2,1,6349
25,45,500,1,1,9176
25,45,600,3,1,9309
25,45,700,3,1,9102
45,75,600,2,1,8873
21,6,500,1,1,12031
9,8,700,3,1,7767
9,59,600,3,1,6410
9,118,500,1,1,5019
9,151,400,3,1,5873
9,151,500,1,1,4916
9,151,500,1,1,5682
9,158,600,2,1,6999
33,24,500,1,1,5320
33,71,700,1,1,8499
33,119,500,2,1,5897
33,119,500,1,1,5951
36,123,600,3,1,7274
36,123,600,3,1,7412
36,123,600,2,1,6664
36,123,700,2,1,6370
36,124,700,3,1,6460
36,130,600,1,1,6914
36,130,600,3,1,7907
36,130,700,1,1,7537
36,130,700,3,1,7614
36,130,700,2,1,8229
36,130,700,3,1,8429
36,130,700,3,1,8537
46,90,400,2,1,5249
46,90,400,3,1,6094
41,35,600,1,1,6753
41,35,600,1,1,7243
41,92,600,2,1,7702
41,113,500,1,1,4492
14,77,600,3,1,10102
14,78,500,3,1,6226
14,100,600,2,1,9883
16,84,600,2,1,10748
16,84,600,1,1,10384
16,84,600,3,1,12936
39,10,400,3,1,5511
39,10,500,2,1,7436
39,134,500,2,1,6604
20,63,500,2,1,9136
20,165,600,3,1,6770
26,5,600,1,1,9950
26,166,600,1,1,9565
26,166,700,3,1,11145
28,108,400,3,2,6298
28,108,500,2,1,5376
38,2,500,1,1,8382
38,2,500,3,1,11107
38,2,600,2,1,11070
38,2,600,2,1,11342
38,3,600,1,1,9037
38,17,600,1,1,8302
38,81,600,3,1,9257
38,81,600,3,2,9425
38,81,700,3,1,8833
38,156,700,1,1,8826
38,172,600,3,1,8378
38,172,700,1,1,9044
42,168,600,3,1,7876
3,40,600,2,1,9121
29,1,500,3,1,12728
1,87,400,1,1,6613
1,87,400,1,1,6955
1,115,500,3,1,10966
1,150,400,2,1,5665
32,95,600,1,1,8422
37,55,600,1,1,8610
37,55,600,2,1,9398
27,85,300,1,1,5617
11,83,500,2,1,11293
5,109,500,3,1,11752
5,109,500,1,1,12031
5,109,600,1,1,10856
5,109,600,1,1,9851
5,109,600,2,1,12059
7,36,500,1,1,9581
13,147,500,2,1,5161
13,147,500,2,1,4099
22,68,700,1,1,7600
40,141,600,3,1,9525
40,142,600,2,1,9082
43,57,600,2,1,11196
44,32,600,1,1,7175
15,16,500,2,1,6710
15,139,400,2,1,6745
18,54,600,2,1,10935
18,54,700,2,1,10798
18,86,600,1,1,10279
